Key;Country Relation;Country Relation Vice Versa;Origin Country;Destination Country;GDP WB origin;GDP WB Destination;Lat Origin;Lon Origin;Lat Destination;Lon Destination;Distance
AT_AT-40;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;40
AT_AT-75;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;75
AT_AT-100;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;100
AT_AT-150;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;150
AT_AT-200;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;200
AT_AT-250;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;250
AT_AT-300;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;300
AT_AT-350;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;350
AT_AT-400;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;400
AT_AT-500;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;500
AT_AT-600;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;600
AT_AT-700;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;700
AT_AT-800;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;800
AT_AT-900;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;900
AT_AT-1000;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;1000
AT_AT-1250;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;1250
AT_AT-1500;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;1500
AT_AT-1750;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;1750
AT_AT-2000;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;2000
AT_AT-2250;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;2250
AT_AT-2500;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;2500
AT_AT-2750;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;2750
AT_AT-3000;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;3000
AT_AT-3250;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;3250
AT_AT-3500;AT_AT;AT_AT;AT;AT;481796;481796;47516231;14550072;47516231;14550072;3500
AT_BE-40;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;40
AT_BE-75;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;75
AT_BE-100;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;100
AT_BE-150;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;150
AT_BE-200;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;200
AT_BE-250;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;250
AT_BE-300;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;300
AT_BE-350;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;350
AT_BE-400;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;400
AT_BE-500;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;500
AT_BE-600;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;600
AT_BE-700;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;700
AT_BE-800;AT_BE;BE_AT;AT;BE;481796;578996;47516231;14550072;50503887;4469936;800
